"RM";"Turma";"Curso";"Nome";"Genero";"Email";"Telefone"
"00000002";"1  A MEC";"Mecânica";"Leonardo Fernandes";"masculino";"LeonardoCavalcantiFernandes@armyspy.com";"(11) 8791-6118"
"12345670";"1  A MEC";"Mecânica";"José Araujo";"masculino";"JoseSantosAraujo@cuvox.de";"(42) 4219-4649"
"10351936";"1  A MEC";"Mecânica";"Pedro Cavalcanti";"masculino";"PedroRodriguesCavalcanti@gustr.com";"(21) 8814-9831"
"09090909";"1  A MEC";"Mecânica";"Felipe Rocha";"masculino";"FelipeDiasRocha@einrot.com";"(31) 6706-4265"
"01462319";"1  A MEC";"Mecânica";"Kauã Dias";"masculino";"KauaMeloDias@einrot.com";"(12) 2057-6429"
"87964496";"1  A MEC";"Mecânica";"Nicole Sousa";"feminino";"NicoleCunhaSousa@teleworm.us";"(92) 2977-2591"
"00232143";"1  A MEC";"Mecânica";"Gabriela Carvalho";"feminino";"GabrielaCunhaCarvalho@fleckens.hu";"(32) 5307-9568"
"02468135";"1  A MEC";"Mecânica";"Bianca Azevedo";"feminino";"BiancaCastroAzevedo@superrito.com";"(61) 9991-4548"
"98765432";"1  B MEC";"Mecânica";"Rafaela Rodrigues";"feminino";"RafaelaAraujoRodrigues@gustr.com";"(31) 6276-4187"
"10497253";"1  B MEC";"Mecânica";"Carla Ferreira";"feminino";"CarlaCastroFerreira@armyspy.com";"(47) 9199-9606"
"11324343";"1  B MEC";"Mecânica";"Vitór Ribeiro";"masculino";"VitorCastroRibeiro@fleckens.hu";"(81) 7949-2692"
"00001007";"1  B MEC";"Mecânica";"Vitoria Martins";"feminino";"VitoriaRodriguesMartins@dayrep.com";"(27) 2281-4008"
"10456767";"1  B MEC";"Mecânica";"Martim Barbosa";"masculino";"MartimAlvesBarbosa@rhyta.com";"(81) 4203-3888"
"00110112";"1  B MEC";"Mecânica";"Tânia Souza";"feminino";"TaniaRochaSouza@cuvox.de";"(11) 2708-3419"
"21232244";"1  B MEC";"Mecânica";"Mariana Rocha";"feminino";"MarianaMartinsRocha@armyspy.com";"(32) 8292-5805"
"01234569";"1  B MEC";"Mecânica";"Ryan Souza";"masculino";"RyanSantosSouza@cuvox.de";"(41) 8628-7775"
"43852086";"1  B MEC";"Mecânica";"Luiza Rocha";"feminino";"LuizaFerreiraRocha@dayrep.com";"(61) 4739-3857"
"00054321";"1 A Edif";"Edificações ";"Clara Sousa";"feminino";"ClaraSouzaSousa@superrito.com";"(11) 6493-6505"
"00000000";"1 A Edif";"Edificações ";"Cauã Correia";"masculino";"CauaSantosCorreia@jourrapide.com";"(31) 4463-3095"
"01435789";"1 A Edif";"Edificações ";"Erick Santos";"masculino";"ErickGomesSantos@cuvox.de";"(51) 2394-9396"
"00169278";"1 A Edif";"Edificações ";"Ryan Goncalves";"masculino";"RyanCardosoGoncalves@fleckens.hu";"(82) 4064-7321"
"01276577";"1 A Edif";"Edificações ";"Raissa Castro";"feminino";"RaissaAlmeidaCastro@gustr.com";"(31) 5451-5720"
"10234321";"1 A Edif";"Edificações ";"Eduarda Ferreira";"feminino";"EduardaSilvaFerreira@rhyta.com";"(19) 8383-9097"
"01657576";"1 A Edif";"Edificações ";"Isabella Alves";"feminino";"IsabellaCunhaAlves@armyspy.com";"(47) 8785-4382"
"01368525";"1 A Edif";"Edificações ";"Gabriela Araujo";"feminino";"GabrielaCardosoAraujo@superrito.com";"(81) 9241-7632"
"01265764";"1 B Edif";"Edificações ";"Kauan Almeida";"masculino";"KauanAzevedoAlmeida@einrot.com";"(92) 4591-9799"
"07137173";"1 B Edif";"Edificações ";"Erick Pereira";"masculino";"ErickMeloPereira@fleckens.hu";"(16) 2655-8408"
"00821437";"1 B Edif";"Edificações ";"Murilo Silva";"masculino";"MuriloAlvesSilva@gustr.com";"(21) 2211-4581"
"00231234";"1 B Edif";"Edificações ";"Evelyn Cavalcanti";"feminino";"EvelynRochaCavalcanti@rhyta.com";"(11) 3560-6666"
"01234567";"1 B Edif";"Edificações ";"Gabriela Rodrigues";"feminino";"GabrielaAzevedoRodrigues@armyspy.com";"(11) 3748-4116"
"01234566";"1 B Edif";"Edificações ";"Fábio Costa";"masculino";"FabioRibeiroCosta@gustr.com";"(21) 8528-3570"
"89908553";"1 B Edif";"Edificações ";"Paulo Dias";"masculino";"PauloAraujoDias@armyspy.com";"(41) 3588-3682"
"85983369";"1 B Edif";"Edificações ";"Arthur Rocha";"masculino";"ArthurCavalcantiRocha@rhyta.com";"(11) 2994-6743"
